date,actual,forecast,product
2024-07-02T00:00:00.000+0000,82.81,77.920774250249,Crude Oil
2024-07-03T00:00:00.000+0000,83.88,78.11620252474822,Crude Oil
2024-07-05T00:00:00.000+0000,83.16,78.36963063679858,Crude Oil
2024-07-08T00:00:00.000+0000,82.33,78.29023790028327,Crude Oil
2024-07-09T00:00:00.000+0000,81.41,78.21695229734607,Crude Oil
2024-07-10T00:00:00.000+0000,82.1,78.26580936597088,Crude Oil
2024-07-11T00:00:00.000+0000,82.62,78.63834451423499,Crude Oil
2024-07-12T00:00:00.000+0000,82.21,78.76136645155594,Crude Oil
2024-07-15T00:00:00.000+0000,81.91,78.70029511577495,Crude Oil
2024-07-16T00:00:00.000+0000,80.76,78.65143804715015,Crude Oil
2024-07-17T00:00:00.000+0000,82.85,78.96900899321136,Crude Oil
2024-07-18T00:00:00.000+0000,82.82,78.71250938293116,Crude Oil
2024-07-19T00:00:00.000+0000,80.13,78.50235075878047,Crude Oil
2024-07-22T00:00:00.000+0000,79.78,78.55731496098336,Crude Oil
2024-07-23T00:00:00.000+0000,76.96,78.47181509088995,Crude Oil
2024-07-24T00:00:00.000+0000,77.59,78.50845789235856,Crude Oil
2024-07-25T00:00:00.000+0000,78.28,78.52677929309286,Crude Oil
2024-07-26T00:00:00.000+0000,77.16,78.48719540287395,Crude Oil
2024-07-29T00:00:00.000+0000,75.81,78.34062419699954,Crude Oil
2024-07-30T00:00:00.000+0000,74.73,78.34673133057765,Crude Oil
2024-07-31T00:00:00.000+0000,77.91,78.62155234159216,Crude Oil
2024-08-01T00:00:00.000+0000,76.31,78.42612406709294,Crude Oil
2024-08-02T00:00:00.000+0000,73.52,79.09563486722215,Crude Oil
2024-08-05T00:00:00.000+0000,72.94,79.41320581328337,Crude Oil
2024-08-06T00:00:00.000+0000,73.2,79.24220607309655,Crude Oil
2024-08-07T00:00:00.000+0000,75.23,79.10174200080024,Crude Oil
2024-08-08T00:00:00.000+0000,76.19,79.09563486722215,Crude Oil
2024-08-09T00:00:00.000+0000,76.84,79.16366561137508,Crude Oil
