Price,Close,High,Low,Open,Volume
1/1/2021,0.130722716,0.11792773,0.11626339,0.116466358,0
1/4/2021,0.116979584,0.117985189,0.116701238,0.116971381,0
1/5/2021,0.116905741,0.117881715,0.11687842,0.116999976,0
1/6/2021,0.118188508,0.119209401,0.117732935,0.118144654,0
1/7/2021,0.119084477,0.119165085,0.1180356,0.11909157,0
1/8/2021,0.118670419,0.119596057,0.118165731,0.118669145,0
1/11/2021,0.11819493,0.118352443,0.116482109,0.118166998,0
1/12/2021,0.117315128,0.117928699,0.116949759,0.117339768,0
1/13/2021,0.118412144,0.118861549,0.117492653,0.118458711,0
1/14/2021,0.118185282,0.118443973,0.117337145,0.118165597,0
1/15/2021,0.118115351,0.118242167,0.116560303,0.118135579,0
1/18/2021,0.116672501,0.116779454,0.115702845,0.116663933,0
1/19/2021,0.116393566,0.117452227,0.116402231,0.11646121,0
1/20/2021,0.117440782,0.117941223,0.117115222,0.117437467,0
1/21/2021,0.117959306,0.119083062,0.117925912,0.118066825,0
1/22/2021,0.118954435,0.119114973,0.117598765,0.118964061,0
1/25/2021,0.118123718,0.118379615,0.116345771,0.117611773,0
1/26/2021,0.117238931,0.117499977,0.115990445,0.117206223,0
1/27/2021,0.117013671,0.117255285,0.115005977,0.117053524,0
1/28/2021,0.115459837,0.116469346,0.114576541,0.115437582,0
1/29/2021,0.116307467,0.117800757,0.1155212,0.116310172,0
2/1/2021,0.116247982,0.117016546,0.116042934,0.116283126,0
2/2/2021,0.116478845,0.116965637,0.115637682,0.11646419,0
2/3/2021,0.116270952,0.116564654,0.115820765,0.116270952,0
2/4/2021,0.116589658,0.116677403,0.115588233,0.116596051,0
2/5/2021,0.115858607,0.117208555,0.11568705,0.115855396,0
2/8/2021,0.117288567,0.117726006,0.116988212,0.117304116,0
2/9/2021,0.117753044,0.118214488,0.117643602,0.117688596,0
2/10/2021,0.118398115,0.11893788,0.118187949,0.118383825,0
2/11/2021,0.118204705,0.118536778,0.117964029,0.11819353,0
2/12/2021,0.11804606,0.118385233,0.117448911,0.11797113,0
2/15/2021,0.118338987,0.119424373,0.118215889,0.118341796,0
2/16/2021,0.119236268,0.119695254,0.1183635,0.119257309,0
2/17/2021,0.118218675,0.118462361,0.117046677,0.118267611,0
2/18/2021,0.1177468,0.118355811,0.117403686,0.11775095,0
2/19/2021,0.118158624,0.118963212,0.117774531,0.118265942,0
