Price,Close,High,Low,Open,Volume
6/11/2021,1.217255831,1.219500303,1.209499836,1.217315078,0
6/14/2021,1.21102035,1.21315062,1.209526181,1.211079001,0
6/15/2021,1.212224007,1.214919209,1.210287452,1.212415099,0
6/16/2021,1.212709188,1.213499427,1.211035013,1.212547421,0
6/17/2021,1.199558616,1.20076859,1.190703034,1.199184537,0
6/18/2021,1.1913414,1.19274807,1.18511498,1.191327095,0
6/21/2021,1.187366486,1.192051411,1.184876204,1.186901331,0
6/22/2021,1.191256166,1.19175303,1.188241243,1.191156864,0
6/23/2021,1.193673491,1.196999907,1.19158268,1.193744779,0
6/24/2021,1.193317413,1.195671678,1.191994548,1.193160772,0
6/25/2021,1.193032742,1.197447062,1.192790747,1.192790747,0
6/28/2021,1.194215298,1.194600344,1.190461993,1.194215298,0
6/29/2021,1.192890406,1.193032742,1.188043594,1.193032742,0
6/30/2021,1.190192819,1.191043258,1.184581518,1.189994454,0
7/1/2021,1.185677052,1.188399315,1.183810234,1.185536385,0
7/2/2021,1.184623599,1.186098933,1.18193531,1.184707761,0
7/5/2021,1.185620785,1.188200235,1.185200691,1.185592651,0
7/6/2021,1.186380386,1.189626455,1.1814996,1.186149597,0
7/7/2021,1.182452321,1.184132576,1.178244829,1.182033062,0
7/8/2021,1.179339886,1.186633825,1.178425312,1.179356575,0
7/9/2021,1.184800386,1.187465072,1.182522297,1.184693813,0
7/12/2021,1.187295914,1.188212872,1.183670163,1.187366486,0
7/13/2021,1.186521053,1.187789559,1.179342628,1.186493039,0
7/14/2021,1.177537322,1.182800651,1.177260041,1.177440166,0
7/15/2021,1.183333874,1.18511498,1.180595756,1.183333874,0
7/16/2021,1.181181431,1.182300091,1.17939961,1.181306958,0
7/19/2021,1.181400537,1.182326555,1.176429033,1.181153536,0
7/20/2021,1.179384351,1.18040061,1.175709844,1.179245353,0
7/21/2021,1.178411484,1.180275202,1.175364375,1.178550363,0
7/22/2021,1.179273009,1.182983994,1.176664352,1.179523468,0
7/23/2021,1.17727387,1.178550363,1.175599337,1.177357078,0
7/26/2021,1.177343249,1.181753755,1.176456809,1.177301645,0
7/27/2021,1.180776954,1.183712125,1.177176952,1.180637598,0
7/28/2021,1.182312608,1.183011889,1.178578138,1.18223989,0
7/29/2021,1.184595585,1.18920207,1.184174657,1.184679747,0
7/30/2021,1.189299703,1.191100121,1.185550451,1.18920207,0
8/2/2021,1.186704159,1.189899683,1.185958266,1.186535239,0
8/3/2021,1.187465072,1.189599514,1.185564637,1.187493324,0
8/4/2021,1.18694365,1.190199852,1.183431864,1.186915398,0
8/5/2021,1.183740139,1.185900569,1.182983994,1.183992386,0
8/6/2021,1.183572054,1.183572054,1.175640702,1.183319926,0
8/9/2021,1.174950004,1.177163005,1.174177527,1.175088167,0
8/10/2021,1.173846722,1.174399495,1.17106986,1.173900485,0
8/11/2021,1.172333002,1.174687862,1.170644879,1.171975732,0
8/12/2021,1.174189925,1.175100565,1.172511697,1.174205065,0
8/13/2021,1.173626184,1.180300355,1.173103094,1.173612475,0
8/16/2021,1.179467797,1.180358887,1.176802874,1.17963469,0
8/17/2021,1.177994967,1.178411484,1.171056151,1.177994967,0
8/18/2021,1.170973897,1.173100352,1.169686437,1.170960188,0
8/19/2021,1.170329809,1.170686007,1.166874766,1.170384526,0
8/20/2021,1.167659521,1.169099689,1.166493654,1.167678595,0
8/23/2021,1.169754863,1.174329162,1.169560552,1.16997385,0
8/24/2021,1.174453378,1.176484466,1.172814131,1.174674034,0
8/25/2021,1.175309181,1.176055431,1.172855377,1.175502539,0
8/26/2021,1.177440166,1.178133845,1.174784422,1.177300215,0
8/27/2021,1.175640702,1.180358887,1.173598766,1.175295353,0
8/30/2021,1.179900646,1.181195378,1.178453207,1.179996729,0
8/31/2021,1.17969048,1.184553385,1.179648638,1.179940939,0
9/1/2021,1.181028008,1.186000466,1.17950964,1.181195378,0
9/2/2021,1.184090614,1.187225461,1.183479548,1.184230685,0
9/3/2021,1.187648416,1.190759659,1.186816931,1.187422872,0
9/6/2021,1.188594222,1.188636661,1.185705185,1.188594222,0
9/7/2021,1.187507391,1.188777924,1.183829784,1.187394619,0
9/8/2021,1.184356928,1.185400128,1.180317044,1.184553385,0
9/9/2021,1.181910157,1.184132576,1.180609703,1.182033062,0
9/10/2021,1.182592273,1.18530035,1.18193531,1.182354569,0
9/13/2021,1.181195378,1.181753755,1.177060485,1.181251168,0
9/14/2021,1.181195378,1.184699416,1.180199981,1.181069851,0
9/15/2021,1.180498123,1.183300257,1.180099726,1.180358887,0
9/16/2021,1.181999564,1.182312608,1.175171018,1.18193531,0
9/17/2021,1.176747441,1.178967237,1.172965527,1.176484466,0
9/20/2021,1.172993064,1.173708916,1.170055985,1.172883034,0
9/21/2021,1.173020482,1.17489481,1.171591282,1.172566652,0
9/22/2021,1.172291636,1.174453378,1.171714783,1.172607899,0
9/23/2021,1.168770432,1.175100565,1.16841948,1.168893456,0
9/24/2021,1.174025893,1.174812078,1.170165539,1.174177527,0
9/27/2021,1.172305465,1.172800422,1.168661237,1.172209263,0
9/28/2021,1.169679523,1.170599699,1.166997313,1.169604301,0
9/29/2021,1.168633819,1.169199586,1.161008716,1.168688416,0
9/30/2021,1.160160184,1.161170483,1.157005668,1.160227418,0
10/1/2021,1.157447577,1.16089952,1.15639019,1.157420754,0
10/4/2021,1.160725713,1.164008856,1.158856034,1.160725713,0
10/5/2021,1.161844969,1.162250042,1.158305645,1.161656022,0
10/6/2021,1.159608483,1.159958243,1.153016806,1.159514427,0
10/7/2021,1.155534983,1.15713954,1.154934525,1.155534983,0
10/8/2021,1.155975819,1.15837276,1.154254556,1.155922413,0
10/11/2021,1.156604171,1.158748627,1.155294657,1.156590819,0
10/12/2021,1.155374765,1.157005668,1.153389215,1.155294657,0
10/13/2021,1.153402567,1.157900572,1.153056741,1.153096676,0
10/14/2021,1.159958243,1.162500024,1.158466578,1.159958243,0
10/15/2021,1.159151554,1.161980033,1.158882856,1.159070849,0
10/18/2021,1.159702659,1.161210895,1.157300234,1.159595013,0
10/19/2021,1.161386251,1.167000055,1.161453724,1.161453724,0
10/20/2021,1.163196445,1.165400624,1.161804557,1.163385868,0
10/21/2021,1.165501237,1.166997313,1.163318276,1.165243149,0
10/22/2021,1.162533879,1.165406108,1.162236691,1.162588,0
10/25/2021,1.164008856,1.166861176,1.159326196,1.164130807,0
10/26/2021,1.161170483,1.162900209,1.158587456,1.161170483,0
10/27/2021,1.159823656,1.162439227,1.158533692,1.159823656,0
10/28/2021,1.160012007,1.169317126,1.158319116,1.159891009,0
10/29/2021,1.168360829,1.169180393,1.154667735,1.168374419,0
11/1/2021,1.155668497,1.159326196,1.154667735,1.155935645,0
11/2/2021,1.159958243,1.1614995,1.157916665,1.160173535,0
11/3/2021,1.157943487,1.159900427,1.156363487,1.158077598,0
11/4/2021,1.161575079,1.161710024,1.152923822,1.161575079,0
11/5/2021,1.155534983,1.156470418,1.15141046,1.155668497,0
11/8/2021,1.156885147,1.15955472,1.155174613,1.156845093,0
11/9/2021,1.159151554,1.160900831,1.157019019,1.158869386,0
11/10/2021,1.15955472,1.159823656,1.15134418,1.159366488,0
11/11/2021,1.148593545,1.1491611,1.145488501,1.1485672,0
11/12/2021,1.145081878,1.145987391,1.143405914,1.144780397,0
11/15/2021,1.144164801,1.146420836,1.141695857,1.144230247,0
11/16/2021,1.13664782,1.138700604,1.133067369,1.136738181,0
11/17/2021,1.132118225,1.133400083,1.127052665,1.1316185,0
11/18/2021,1.132118225,1.135976434,1.131503344,1.131810665,0
11/19/2021,1.136841536,1.13700974,1.125239134,1.13700974,0
11/22/2021,1.127573729,1.129050493,1.123822808,1.127573729,0
11/23/2021,1.12421453,1.127344847,1.122712493,1.124353528,0
11/24/2021,1.124492645,1.125454426,1.118780971,1.124391437,0
11/25/2021,1.120297551,1.123090744,1.120398045,1.120699286,0
11/26/2021,1.120963097,1.132200241,1.12079978,1.120900393,0
11/29/2021,1.129318237,1.129800558,1.125885248,1.12911427,0
11/30/2021,1.129343748,1.138174415,1.124606371,1.129356503,0
12/1/2021,1.133028984,1.13584733,1.130416036,1.133003235,0
12/2/2021,1.131951571,1.13481617,1.1301862,1.131964445,0
12/3/2021,1.130620599,1.133183002,1.12673521,1.130684495,0
12/6/2021,1.130479932,1.1310004,1.126900196,1.130262733,0
12/7/2021,1.128668189,1.12994349,1.123128533,1.128451586,0
12/8/2021,1.127650023,1.13390255,1.126963735,1.1273067,0
12/9/2021,1.134558678,1.134558678,1.127942562,1.134404302,0
12/10/2021,1.129330993,1.13225925,1.12673521,1.129407525,0
12/13/2021,1.131183386,1.131605744,1.126354456,1.13111937,0
12/14/2021,1.128540754,1.132759452,1.126659036,1.128337145,0
12/15/2021,1.12612617,1.127800107,1.124922633,1.125872612,0
12/16/2021,1.129075885,1.136363626,1.128209829,1.129305482,0
12/17/2021,1.133414149,1.134906292,1.126836658,1.133542657,0
12/20/2021,1.124353528,1.130454421,1.123734355,1.124252319,0
12/21/2021,1.127751708,1.130326629,1.126176834,1.127675414,0
12/22/2021,1.128757358,1.134199619,1.126532078,1.129050493,0
12/23/2021,1.132887721,1.134558678,1.129152417,1.133016109,0
12/24/2021,1.132733703,1.134429932,1.130837917,1.132464409,0
12/27/2021,1.132425904,1.133500218,1.130416036,1.1323874,0
12/28/2021,1.133003235,1.133600473,1.129037738,1.132977605,0
12/29/2021,1.131477714,1.137000561,1.127535582,1.131336927,0
12/30/2021,1.136015058,1.135976434,1.130071282,1.135976434,0
12/31/2021,1.132502794,1.137915373,1.130505562,1.132323265,0
1/3/2022,1.13734591,1.13759172,1.128540754,1.137384653,0
1/4/2022,1.130224466,1.132300138,1.127344847,1.130198836,0
1/5/2022,1.128362536,1.134558678,1.127764463,1.128540754,0
1/6/2022,1.131349683,1.133067369,1.12855351,1.131221771,0
1/7/2022,1.129688144,1.135976434,1.129050493,1.129586101,0
1/10/2022,1.135396004,1.135976434,1.128833771,1.135344386,0
1/11/2022,1.133041739,1.13689971,1.131554484,1.133272886,0
1/12/2022,1.13664782,1.143300056,1.135576487,1.13700974,0
1/13/2022,1.144164801,1.147907972,1.143641353,1.143981457,0
1/14/2022,1.145711541,1.148369312,1.141005397,1.145659089,0
1/17/2022,1.141070485,1.143458366,1.139315486,1.141213775,0
1/18/2022,1.141057491,1.142334938,1.13296473,1.141291857,0
1/19/2022,1.13296473,1.135679603,1.131951571,1.133003235,0
1/20/2022,1.134339929,1.136893392,1.133016109,1.134352684,0
1/21/2022,1.131375313,1.136105418,1.130224466,1.131541729,0
1/24/2022,1.134146929,1.13409543,1.129139662,1.13409543,0
1/25/2022,1.13241303,1.132502794,1.126684427,1.1323874,0
1/26/2022,1.130454421,1.131349683,1.127205133,1.130352259,0
1/27/2022,1.124353528,1.12447989,1.113350153,1.124227047,0
1/28/2022,1.11470294,1.117006421,1.112334728,1.114615917,0
1/31/2022,1.115237474,1.121692419,1.114504099,1.115138054,0
2/1/2022,1.122964621,1.127904296,1.122208476,1.122914195,0
2/2/2022,1.12739563,1.1329391,1.126697063,1.1273067,0
2/3/2022,1.129994631,1.145068765,1.127205133,1.129994631,0
2/4/2022,1.143575907,1.148369312,1.14134407,1.14351058,0
2/7/2022,1.145514727,1.146000385,1.141669869,1.145462275,0
2/8/2022,1.144295692,1.145081878,1.139705062,1.144086242,0
2/9/2022,1.142126203,1.144700408,1.140328884,1.14211309,0
2/10/2022,1.14215219,1.149425268,1.138083696,1.142126203,0
2/11/2022,1.141552567,1.141900539,1.137125969,1.141174674,0
2/14/2022,1.136505723,1.136893392,1.129279971,1.136583209,0
2/15/2022,1.130633473,1.136880398,1.130582213,1.130607843,0
2/16/2022,1.135679603,1.139315486,1.134545803,1.135563612,0
2/17/2022,1.137526989,1.138692737,1.132759452,1.137332916,0
2/18/2022,1.13664782,1.137669325,1.131580114,1.136389375,0
2/21/2022,1.13172102,1.138563156,1.131413698,1.131733775,0
2/22/2022,1.130965829,1.136376619,1.128910184,1.130965829,0
2/23/2022,1.132913351,1.135976434,1.130735636,1.133054614,0
2/24/2022,1.130569458,1.130594969,1.111049414,1.130594969,0
2/25/2022,1.11906898,1.126608253,1.116806865,1.119081497,0
2/28/2022,1.118105412,1.124454618,1.114317894,1.118105412,0
3/1/2022,1.121591806,1.123216867,1.110210538,1.121465921,0
3/2/2022,1.113275886,1.114193678,1.105852127,1.113102317,0
3/3/2022,1.111234546,1.111605167,1.103984237,1.111358047,0
3/4/2022,1.106684446,1.106929421,1.089004278,1.106929421,0
3/7/2022,1.087453008,1.093075395,1.080859065,1.08739388,0
3/8/2022,1.086531281,1.092215776,1.085116506,1.086956501,0
3/9/2022,1.089823246,1.109114766,1.089787602,1.090084553,0
3/10/2022,1.107382894,1.111617446,1.098213196,1.107333899,0
3/11/2022,1.101394415,1.104191542,1.093469739,1.101212382,0
3/14/2022,1.093206763,1.098695874,1.090250969,1.093254685,0
3/15/2022,1.094319344,1.101831198,1.093948245,1.094534993,0
3/16/2022,1.096936345,1.103874564,1.095578194,1.096731663,0
3/17/2022,1.102195501,1.111049414,1.102122664,1.102244258,0
3/18/2022,1.109951854,1.111790538,1.100533724,1.109890223,0
3/21/2022,1.104313493,1.106672168,1.1026088,1.10421598,0
3/22/2022,1.101722002,1.104569554,1.09615469,1.101637006,0
3/23/2022,1.10297358,1.104200125,1.096575379,1.103010058,0
3/24/2022,1.100630641,1.101333737,1.096996427,1.100630641,0
3/25/2022,1.10095787,1.103874564,1.098297596,1.100897193,0
3/28/2022,1.098189116,1.099674463,1.094534993,1.098189116,0
3/29/2022,1.099384308,1.113635302,1.097044587,1.099384308,0
3/30/2022,1.109151602,1.117000103,1.108905554,1.109151602,0
3/31/2022,1.116183519,1.118305564,1.107400179,1.116183519,0
4/1/2022,1.107235789,1.107542396,1.10297358,1.107235789,0
4/4/2022,1.104728222,1.1057055,1.098092675,1.104728222,0
4/5/2022,1.097586393,1.099142671,1.09213233,1.097586393,0
4/6/2022,1.090643287,1.093744874,1.087571263,1.090643287,0
4/7/2022,1.089823246,1.09350574,1.086720347,1.089823246,0
4/8/2022,1.086484075,1.089194059,1.083693624,1.086484075,0
4/11/2022,1.088494658,1.093278527,1.087464809,1.088494658,0
4/12/2022,1.087795973,1.090393662,1.085187197,1.087795973,0
4/13/2022,1.082614303,1.087381959,1.081034303,1.082614303,0
4/14/2022,1.089656949,1.09226346,1.075858831,1.089656949,0
4/15/2022,1.082098842,1.08234477,1.079878688,1.082098842,0
4/18/2022,1.081525445,1.081583858,1.07836473,1.081525445,0
4/19/2022,1.078178763,1.08120966,1.076194525,1.078178763,0
4/20/2022,1.079447269,1.086720347,1.078481078,1.079447269,0
4/21/2022,1.084987044,1.093469739,1.082438588,1.084987044,0
4/22/2022,1.083517551,1.085422754,1.077284336,1.083517551,0
4/25/2022,1.081104517,1.081221342,1.070033669,1.081104517,0
4/26/2022,1.071420908,1.073883176,1.064463973,1.071420908,0
4/27/2022,1.06436193,1.065643668,1.051668525,1.06436193,0
4/28/2022,1.05550921,1.056222677,1.047284842,1.05550921,0
4/29/2022,1.050420165,1.059041619,1.05054152,1.050420165,0
5/2/2022,1.053596497,1.056769609,1.050398111,1.053596497,0
5/3/2022,1.050905824,1.05776453,1.049439073,1.050905824,0
5/4/2022,1.052853227,1.056635737,1.050651908,1.052853227,0
5/5/2022,1.062247753,1.063999653,1.050464272,1.062247753,0
5/6/2022,1.053974032,1.059838533,1.048536777,1.053974032,0
5/9/2022,1.053219199,1.057216525,1.049659371,1.053219199,0
5/10/2022,1.056579828,1.058581948,1.052731276,1.056579828,0
5/11/2022,1.053296804,1.057563186,1.050707102,1.053296804,0
5/12/2022,1.051248312,1.052975178,1.037355185,1.051248312,0
5/13/2022,1.037958145,1.041938066,1.035196662,1.037958145,0
5/16/2022,1.040063262,1.043797731,1.039133787,1.040063262,0
5/17/2022,1.043895841,1.055375576,1.043242455,1.043895841,0
5/18/2022,1.054785609,1.056412458,1.049240947,1.054785609,0
5/19/2022,1.047273993,1.059804797,1.046605349,1.047273993,0
5/20/2022,1.05789876,1.059883475,1.054107308,1.05789876,0
5/23/2022,1.056981921,1.069027066,1.056870222,1.056981921,0
5/24/2022,1.06820488,1.07463336,1.066200376,1.06820488,0
5/25/2022,1.073652506,1.073652506,1.064407229,1.073652506,0
5/26/2022,1.068661451,1.072869301,1.066450477,1.068661451,0
5/27/2022,1.073295355,1.076507449,1.069804788,1.073295355,0
5/30/2022,1.073145628,1.078515887,1.072742701,1.073145628,0
5/31/2022,1.077353954,1.07749331,1.068216324,1.077353954,0
6/1/2022,1.073410511,1.073664069,1.063173771,1.073410511,0
6/2/2022,1.065416574,1.073848605,1.064565897,1.065416574,0
6/3/2022,1.075106978,1.076542139,1.07066381,1.075106978,0
6/6/2022,1.072604656,1.075268865,1.06860435,1.072604656,0
6/7/2022,1.069141388,1.070893168,1.065280437,1.069141388,0
6/8/2022,1.069862008,1.074829698,1.067327023,1.069862008,0
6/9/2022,1.071765423,1.077005982,1.06471324,1.071765423,0
6/10/2022,1.061920524,1.064214706,1.050773382,1.061920524,0
6/13/2022,1.048998713,1.049758554,1.041905403,1.048998713,0
6/14/2022,1.041514754,1.048239946,1.03982532,1.041514754,0
6/15/2022,1.044059277,1.050718188,1.038626552,1.044059277,0
6/16/2022,1.045620441,1.05303061,1.038259864,1.045620441,0
6/17/2022,1.054685473,1.055175185,1.044560909,1.054685473,0
6/20/2022,1.049141765,1.05451858,1.048635721,1.049141765,0
6/21/2022,1.052077889,1.058189869,1.051425219,1.052077889,0
6/22/2022,1.053263545,1.060287952,1.047186136,1.053263545,0
6/23/2022,1.056412458,1.058066726,1.048448801,1.056412458,0
6/24/2022,1.05201149,1.056914806,1.051369905,1.05201149,0
6/27/2022,1.056613326,1.061424613,1.055086017,1.056613326,0
6/28/2022,1.058089137,1.060501575,1.05057466,1.058089137,0
6/29/2022,1.052354574,1.053629756,1.046802521,1.052354574,0
6/30/2022,1.044659138,1.04787755,1.038389325,1.044659138,0
7/1/2022,1.047767758,1.047789693,1.03698945,1.047767758,0
7/4/2022,1.043394804,1.046353459,1.041807771,1.043394804,0
7/5/2022,1.043318629,1.044855714,1.02373004,1.043318629,0
7/6/2022,1.025767326,1.027390242,1.016218781,1.025767326,0
7/7/2022,1.018641114,1.021920204,1.015331507,1.018641114,0
7/8/2022,1.016983628,1.019108295,1.007973075,1.016983628,0
7/11/2022,1.016611457,1.0167768,1.005429268,1.016611457,0
7/12/2022,1.004752517,1.007384181,1.00011003,1.004752517,0
7/13/2022,1.003310919,1.011623502,0.99988997,1.003310919,0
7/14/2022,1.003270626,1.004924059,0.995361626,1.003270626,0
7/15/2022,1.002566576,1.00979507,1.001061082,1.002566576,0
7/18/2022,1.009631872,1.019887805,1.008237362,1.009631872,0
7/19/2022,1.014517784,1.02682054,1.01256597,1.014517784,0
7/20/2022,1.023133039,1.027189732,1.017594218,1.023133039,0
7/21/2022,1.018278122,1.027537942,1.016311765,1.018278122,0
7/22/2022,1.022108197,1.025514841,1.013397098,1.022108197,0
7/25/2022,1.020023108,1.025640965,1.018060446,1.020023108,0
7/26/2022,1.022494912,1.024905205,1.011398435,1.022494912,0
7/27/2022,1.012955785,1.017190576,1.010744214,1.012955785,0
7/28/2022,1.020929098,1.023311019,1.011572361,1.020929098,0
7/29/2022,1.019232869,1.025378108,1.014857531,1.019232869,0
8/1/2022,1.02082479,1.027749181,1.020960331,1.02082479,0
8/2/2022,1.026135683,1.029314876,1.018371463,1.026135683,0
8/3/2022,1.015568733,1.020762324,1.012319922,1.015568733,0
8/4/2022,1.015764594,1.023248196,1.015599608,1.015764594,0
8/5/2022,1.024779201,1.024905205,1.014363408,1.024779201,0
8/8/2022,1.017087102,1.022181392,1.016002059,1.017087102,0
8/9/2022,1.019762993,1.024695158,1.018921375,1.019762993,0
8/10/2022,1.020814419,1.03691411,1.020304084,1.020814419,0
8/11/2022,1.030078292,1.036591649,1.027633071,1.030078292,0
8/12/2022,1.031672359,1.032737851,1.02396071,1.031672359,0
8/15/2022,1.025640965,1.026715159,1.018226266,1.025640965,0
8/16/2022,1.016198158,1.01944077,1.012340426,1.016198158,0
